date;iso3;TWI_VOLUME;EPI_CONFIRMED;IRI_UNVERIFIED;IRI_VERIFIED;IRI_ALL
2020-01-22;AFG;165;0;0.0712454329850651;0;0.0712454329850651
2020-01-23;AFG;368;0;0.525865171760284;0.0664681244127343;0.592333296173018
2020-01-24;AFG;799;0;0.0308947225467667;0;0.0308947225467667
2020-01-25;AFG;1450;0;0.0682126892395841;0;0.0682126892395841
2020-01-26;AFG;1832;0;0.0773098888011281;0;0.0773098888011281
2020-01-27;AFG;1012;0;0.0336303935302475;0;0.0336303935302475
2020-01-28;AFG;875;0;0.614632119231331;0;0.614632119231331
2020-01-29;AFG;966;0;0.628150414687173;0;0.628150414687173
2020-01-30;AFG;1577;0;0.143085661295931;0;0.143085661295931
2020-01-31;AFG;1194;0;0.257836950317968;0;0.257836950317968
2020-02-01;AFG;711;0;0.313184144655733;0;0.313184144655733
2020-02-02;AFG;727;0;0.435018993352327;0;0.435018993352327
2020-02-03;AFG;532;0;0.819752009017854;0;0.819752009017854
2020-02-04;AFG;488;0;0.398025751072961;0;0.398025751072961
2020-02-05;AFG;380;0;0.0396128383474399;0;0.0396128383474399
2020-02-06;AFG;367;0;0.0520804001233624;0;0.0520804001233624
2020-02-07;AFG;448;0;0.0230132208218466;0;0.0230132208218466
2020-02-08;AFG;444;0;0;0;0
2020-02-09;AFG;395;0;0.307825631969652;0;0.307825631969652
2020-02-10;AFG;360;0;0.0132665431505753;0;0.0132665431505753
2020-02-11;AFG;360;0;0.122616611807965;0;0.122616611807965
2020-02-12;AFG;277;0;0.157228657228657;0;0.157228657228657
2020-02-13;AFG;268;0;0.0590929538297959;0;0.0590929538297959
2020-02-14;AFG;261;0;0.521771651439867;0;0.521771651439867
2020-02-15;AFG;297;0;0.168519805420431;0;0.168519805420431
2020-02-16;AFG;329;0;0.00997139643828095;0;0.00997139643828095
2020-02-17;AFG;257;0;0.0928458009880028;0;0.0928458009880028
2020-02-18;AFG;297;0;0.0541785894630534;0;0.0541785894630534
2020-02-19;AFG;343;0;0.0833835565837821;0;0.0833835565837821
2020-02-20;AFG;295;0;0.0837253685767451;0;0.0837253685767451
2020-02-21;AFG;335;0;0.286654100602432;0;0.286654100602432
2020-02-22;AFG;491;0;0.00465013573720238;0;0.00465013573720238
2020-02-23;AFG;828;0;0.164315934643884;0;0.164315934643884
2020-02-24;AFG;1282;1;0.215123268234042;0;0.215123268234042
2020-02-25;AFG;1241;1;0.128170135334926;0;0.128170135334926
2020-02-26;AFG;1298;1;0.384004626025843;0.0745279451993862;0.45853257122523
2020-02-27;AFG;1387;1;0.308939819436763;0;0.308939819436763
2020-02-28;AFG;1241;1;0.310300116412232;0;0.310300116412232
2020-02-29;AFG;1147;1;0.242397374274737;0;0.242397374274737
2020-03-01;AFG;1255;1;0.673175230266528;0;0.673175230266528
2020-03-02;AFG;1604;1;0.120779147241464;0;0.120779147241464
2020-03-03;AFG;1404;1;0.238037032554762;0;0.238037032554762
2020-03-04;AFG;1350;1;0.104731784454446;0;0.104731784454446
2020-03-05;AFG;1347;1;0.289879994822581;0;0.289879994822581
2020-03-06;AFG;1301;1;0.324946658804793;0;0.324946658804793
2020-03-07;AFG;1416;1;0.435991570906457;0;0.435991570906457
2020-03-08;AFG;1286;4;0.236088740738666;0;0.236088740738666
2020-03-09;AFG;1443;4;0.216511565046144;0;0.216511565046144
2020-03-10;AFG;1561;5;0.104197886829675;0;0.104197886829675
2020-01-22;AGO;394;0;0.170470648437295;0;0.170470648437295
2020-01-23;AGO;544;0;0.635076804137944;0;0.635076804137944
2020-01-24;AGO;989;0;0.466605392765048;0;0.466605392765048
2020-01-25;AGO;1376;0;0.723686226954419;0;0.723686226954419
2020-01-26;AGO;1270;0;0.785214190059626;0;0.785214190059626
2020-01-27;AGO;1185;0;0.181709597008725;0;0.181709597008725
2020-01-28;AGO;1294;0;0.418960519380959;0;0.418960519380959
2020-01-29;AGO;1464;0;0.68575594781274;0;0.68575594781274
2020-01-30;AGO;2279;0;0.362222883499479;0;0.362222883499479
2020-01-31;AGO;1894;0;0.500680723511847;0;0.500680723511847
2020-02-01;AGO;925;0;0.583501021372603;0;0.583501021372603
