"","sentiment","Score"
"1","anger",8030
"2","anticipation",14284
"3","disgust",4476
"4","fear",16865
"5","joy",8548
"6","sadness",12111
"7","surprise",5379
"8","trust",18802
"9","negative",20748
"10","positive",35279
