"","word","sentiment","n"
"279","holy","positive",12
"280","kindness","positive",12
"281","moron","negative",12
"282","protests","negative",12
"283","scams","negative",12
"284","solidarity","positive",12
"285","stronger","positive",12
"286","stuck","negative",12
"287","supreme","positive",12
"288","timely","positive",12
"289","tops","positive",12
"290","tragedy","negative",12
"291","uncertain","negative",12
"292","awesome","positive",11
"293","chaos","negative",11
"294","cloud","negative",11
"295","cold","negative",11
"296","compassion","positive",11
"297","concern","negative",11
"298","confused","negative",11
"299","crazy","negative",11
"300","dedicated","positive",11
"301","destruction","negative",11
"302","devastating","negative",11
"303","falls","negative",11
"304","fans","positive",11
"305","fascinating","positive",11
"306","favorite","positive",11
"307","fever","negative",11
"308","hang","negative",11
"309","helped","positive",11
"310","ignore","negative",11
"311","impossible","negative",11
"312","inept","negative",11
"313","isolated","negative",11
"314","leads","positive",11
"315","lovely","positive",11
"316","popular","positive",11
"317","recommendations","positive",11
"318","refuses","negative",11
"319","syndrome","negative",11
"320","tragic","negative",11
"321","advocates","positive",10
"322","aggressive","negative",10
"323","bless","positive",10
"324","blow","negative",10
"325","challenging","negative",10
"326","confusion","negative",10
"327","conservative","negative",10
"328","cool","positive",10
"329","disruption","negative",10
"330","farce","negative",10
"331","flexibility","positive",10
"332","plague","negative",10
"333","properly","positive",10
"334","pure","positive",10
"335","scary","negative",10
"336","secure","positive",10
"337","selfish","negative",10
"338","shocking","negative",10
"339","strange","negative",10
"340","successfully","positive",10
"341","supported","positive",10
"342","survival","positive",10
"343","threats","negative",10
"344","useless","negative",10
"345","afford","positive",9
"346","badly","negative",9
"347","blessing","positive",9
"348","burden","negative",9
"349","collapse","negative",9
"350","complaint","negative",9
"351","confusing","negative",9
"352","consistent","positive",9
"353","decline","negative",9
"354","delusional","negative",9
"355","dictator","negative",9
"356","fallout","negative",9
"357","fun","positive",9
"358","genius","positive",9
"359","hardship","negative",9
"360","harm","negative",9
"361","inflammatory","negative",9
"362","intelligence","positive",9
"363","isolate","negative",9
"364","losses","negative",9
"365","mist","negative",9
"366","nightmare","negative",9
"367","plot","negative",9
"368","promise","positive",9
"369","reliable","positive",9
"370","silent","positive",9
"371","smile","positive",9
"372","smoke","negative",9
"373","suck","negative",9
"374","suspect","negative",9
"375","upset","negative",9
"376","winning","positive",9
"377","appreciated","positive",8
"378","approve","positive",8
"379","ashamed","negative",8
"380","awarded","positive",8
"381","burn","negative",8
"382","conflict","negative",8
"383","crap","negative",8
"384","crash","negative",8
"385","crowded","negative",8
"386","denied","negative",8
"387","despair","negative",8
"388","destroy","negative",8
"389","distraction","negative",8
"390","encouraging","positive",8
"391","fallen","negative",8
"392","fell","negative",8
"393","frustrated","negative",8
"394","garbage","negative",8
"395","honoring","positive",8
"396","hurt","negative",8
"397","illegal","negative",8
"398","insane","negative",8
"399","loser","negative",8
"400","mess","negative",8
"401","mocking","negative",8
"402","murderer","negative",8
"403","proven","positive",8
"404","quiet","positive",8
"405","rage","negative",8
"406","refused","negative",8
"407","remedy","positive",8
"408","resistance","negative",8
"409","robust","positive",8
"410","scum","negative",8
"411","shake","negative",8
"412","sharp","positive",8
"413","shock","negative",8
"414","slowly","negative",8
"415","steal","negative",8
"416","suicide","negative",8
"417","sustainable","positive",8
"418","tired","negative",8
"419","trouble","negative",8
"420","winner","positive",8
"421","wisdom","positive",8
"422","worries","negative",8
"423","alarm","negative",7
"424","anger","negative",7
"425","booming","positive",7
"426","bs","negative",7
"427","bully","negative",7
"428","calm","positive",7
"429","cheap","negative",7
"430","chronic","negative",7
"431","clarity","positive",7
"432","coward","negative",7
"433","criticism","negative",7
"434","deficiency","negative",7
"435","deny","negative",7
"436","desperate","negative",7
"437","disastrous","negative",7
"438","exciting","positive",7
"439","fail","negative",7
"440","faster","positive",7
"441","flexible","positive",7
"442","gold","positive",7
"443","grand","positive",7
"444","horrific","negative",7
"445","inflated","negative",7
"446","insecurity","negative",7
"447","insightful","positive",7
"448","joy","positive",7
"449","lied","negative",7
"450","loud","negative",7
"451","lucky","positive",7
"452","nasty","negative",7
"453","optimistic","positive",7
"454","overwhelmed","negative",7
"455","overwhelming","negative",7
"456","plight","negative",7
"457","premier","positive",7
"458","rant","negative",7
"459","recommend","positive",7
"460","ridiculous","negative",7
"461","shameful","negative",7
"462","split","negative",7
"463","stable","positive",7
"464","stressful","negative",7
"465","struggle","negative",7
"466","stupidity","negative",7
"467","thankful","positive",7
"468","threatening","negative",7
"469","toxic","negative",7
"470","unacceptable","negative",7
"471","unemployed","negative",7
"472","wise","positive",7
"473","advocate","positive",6
"474","appalling","negative",6
"475","broke","negative",6
"476","confidence","positive",6
"477","congratulations","positive",6
"478","continuity","positive",6
"479","devil","negative",6
"480","difficulties","negative",6
"481","dire","negative",6
"482","disgrace","negative",6
"483","disproportionate","negative",6
"484","effectively","positive",6
"485","enemy","negative",6
"486","fastest","positive",6
"487","freedoms","positive",6
"488","friendly","positive",6
"489","genuine","positive",6
"490","greedy","negative",6
"491","gross","negative",6
"492","hazard","negative",6
"493","heal","positive",6
"494","hero","positive",6
"495","honest","positive",6
"496","honored","positive",6
"497","inadequate","negative",6
"498","incredibly","positive",6
"499","inspiring","positive",6
"500","invisible","negative",6
"501","jobless","negative",6
"502","kindly","positive",6
"503","likes","positive",6
"504","mercy","positive",6
"505","morons","negative",6
"506","mourn","negative",6
"507","neglected","negative",6
"508","obstacle","negative",6
"509","oversight","negative",6
"510","pleased","positive",6
"511","praise","positive",6
"512","punish","negative",6
"513","puppet","negative",6
"514","racists","negative",6
"515","radical","negative",6
"516","recommended","positive",6
"517","reject","negative",6
"518","rhetoric","negative",6
"519","rough","negative",6
"520","scarcity","negative",6
"521","severity","negative",6
"522","shortage","negative",6
"523","strict","negative",6
"524","struggles","negative",6
"525","sue","negative",6
"526","symptom","negative",6
"527","transparent","positive",6
"528","trapped","negative",6
"529","trauma","negative",6
"530","ugly","negative",6
"531","undocumented","negative",6
"532","unnecessary","negative",6
"533","weird","negative",6
"534","backbone","positive",5
"535","beauty","positive",5
"536","beg","negative",5
"537","begging","negative",5
"538","boom","positive",5
"539","breakdown","negative",5
"540","breaks","negative",5
"541","burning","negative",5
"542","celebrated","positive",5
"543","chaotic","negative",5
"544","classic","positive",5
"545","cleaner","positive",5
"546","clueless","negative",5
"547","complain","negative",5
"548","complains","negative",5
"549","corrupt","negative",5
"550","criticized","negative",5
"551","cry","negative",5
"552","dark","negative",5
"553","deaf","negative",5
"554","delighted","positive",5
"555","disabled","negative",5
"556","disagree","negative",5
"557","disapprove","negative",5
"558","efficient","positive",5
"559","embarrassing","negative",5
"560","empathy","positive",5
"561","encourage","positive",5
"562","fails","negative",5
"563","fat","negative",5
"564","fatigue","negative",5
"565","fortune","positive",5
"566","fragile","negative",5
"567","freaking","negative",5
"568","freaks","negative",5
"569","greed","negative",5
"570","grief","negative",5
"571","guarantee","positive",5
"572","guilty","negative",5
"573","harmony","positive",5
"574","harsh","negative",5
"575","heartfelt","positive",5
"576","hostage","negative",5
"577","hotbeds","negative",5
"578","humor","positive",5
"579","hurts","negative",5
"580","improved","positive",5
"581","improving","positive",5
"582","inequalities","negative",5
"583","inhumane","negative",5
"584","insecure","negative",5
"585","kudos","positive",5
"586","limits","negative",5
"587","loving","positive",5
"588","luck","positive",5
"589","madness","negative",5
"590","mistakes","negative",5
"591","modern","positive",5
"592","neglect","negative",5
"593","nicely","positive",5
"594","partisan","negative",5
"595","patience","positive",5
"596","precious","positive",5
"597","privilege","positive",5
"598","prompt","positive",5
"599","reasonable","positive",5
"600","refuse","negative",5
"601","regret","negative",5
