"","sentiment","Score"
"1","anger",1962
"2","anticipation",3182
"3","disgust",1713
"4","fear",4821
"5","joy",1288
"6","sadness",3169
"7","surprise",1537
"8","trust",3583
"9","negative",6898
"10","positive",5164
